$METADATA
$Version 1.1
$Project; FerryBox
$Device; 731501
$DateTime; 2016.09.22 10:17:01
$Filename; D:\Working\136_2016-09-22_10.14.51_Marseille_to_Goulette_731501.txt
$Watertimedelay; 00:00:00
$TrackStart: Goulette
$TrackEnd: Goulette
$FORMATS
$1; DateTime; YYYY.MM.DD hh:mm:ss
$2; Measdata; Float


$DATASETS
Units	°	°	°		Nm		°C		S/m		psu		m/s		°C		umol/l		%		°C		NTU		µg/l		pH		°C		pH		ppm		mbar		l/min		l/min		l/min		l/min		bool		bool	
Date Time	Latitude	Longitude	Course	Variance	Speed	Variance	Temp_SBE45	Variance	Cond_SBE45	Variance	Salinity_SBE45	Variance	SoundVel_SBE45	Variance	Temp_in_SBE38	Variance	Oxygen	Variance	Saturation	Variance	Temperature_Optode	Variance	Turbidity	Variance	Chl_a	Variance	pH_Meinsberg	Variance	Temp_Meinsberg	Variance	pH_SeaFET	Variance	pCO2	Variance	pressure	Variance	flow_in	Variance	flow_main	Variance	flow_pH	Variance	flow_pCO2	Variance	halffull	Variance	full	Variance
2016.09.22 10:17:00	43.283783	5.333879	201.594460	0.321580	7.124377	0.053015	20.939300	0.009261	2.146300	6.785425	15.425367	353.842302	1502.334833	430.949925	18.415584	2.255487	174.972250	2067.600591	63.694167	287.162235	21.597000	0.166753	10.434595	36.364336	0.119304	0.016266	5.852585	0.934384	20.555288	0.000033	0.000000	0.000000	0.000000	0.000000	15.712264	339.801433	14.710671	97.401416	3.190738	10.428400	-0.001395	-0.000000	0.008580	-0.000000	0.622642	0.239478	0.603774	0.243832
2016.09.22 10:18:00	43.281987	5.332921	200.588858	0.238591	7.033983	0.072306	19.108292	0.852235	5.028271	0.005294	37.747667	0.057257	1522.048333	5.373997	17.093136	0.000072	144.990750	858.497256	50.770167	90.790301	19.838750	0.592781	13.105253	16.062608	0.135208	0.001074	7.920417	0.124986	19.948806	0.278044	0.000000	0.000000	0.000000	0.000000	154.170000	1604.416939	21.553985	0.014796	8.506020	2.458437	-0.001395	-0.000000	0.008580	-0.000000	1.000000	0.000000	1.000000	0.000000
2016.09.22 10:19:00	43.280047	5.331930	200.609141	0.353833	7.810249	0.069200	17.816542	0.009513	4.922738	0.000079	38.034733	0.000208	1518.709667	0.071269	17.172130	0.002207	216.920917	145.198833	73.956000	14.319602	18.394417	0.049998	10.522562	0.000359	0.095783	0.000023	8.410712	0.001417	18.481611	0.062970	0.000000	0.000000	0.000000	0.000000	187.115385	13.579563	21.595189	0.009636	8.469368	2.982427	-0.001395	-0.000000	0.008580	-0.000000	1.000000	0.000000	1.000000	0.000000
2016.09.22 10:20:00	43.277794	5.330792	200.326389	0.136544	9.646111	0.710960	17.741345	0.000605	4.918383	0.000011	38.067309	0.000039	1518.528455	0.006122	17.386758	0.006332	239.255833	10.760221	81.026083	1.096253	18.057000	0.002092	10.567372	0.002658	0.080500	0.000011	8.464942	0.000053	18.084925	0.001299	0.000000	0.000000	0.000000	0.000000	187.990000	23.747347	21.478840	0.018640	8.625853	3.857622	-0.001395	-0.000000	0.008580	-0.000000	1.000000	0.000000	1.000000	0.000000
2016.09.22 10:21:00	43.274826	5.329268	200.750136	0.084192	12.777236	0.771980	17.909385	0.005985	4.939176	0.000084	38.090546	0.000054	1519.043000	0.054076	17.672636	0.006068	245.240000	0.851247	83.068000	0.125611	18.065417	0.000856	10.570361	0.000107	0.068696	0.000016	8.478857	0.000021	18.117469	0.001812	0.000000	0.000000	0.000000	0.000000	186.694444	27.131289	21.499849	0.011144	9.022848	3.290851	-0.001395	-0.000000	0.008580	-0.000000	1.000000	0.000000	1.000000	0.000000
2016.09.22 10:22:00	43.271251	5.327355	201.527492	0.082909	15.592145	0.562059	18.173742	0.005741	4.969687	0.000076	38.107475	0.000023	1519.825750	0.049857	17.922746	0.003811	246.938833	0.067851	83.884750	0.030029	18.205917	0.002773	10.583986	0.000180	0.056309	0.000008	8.485536	0.000010	18.323113	0.003381	0.000000	0.000000	0.000000	0.000000	186.990566	30.826832	21.536833	0.010822	8.713500	4.046376	-0.001395	-0.000000	0.008580	-0.000000	1.000000	0.000000	1.000000	0.000000
2016.09.22 10:23:00	43.267014	5.325066	201.817582	0.097486	17.982967	0.321803	18.411983	0.004058	4.996770	0.000053	38.118625	0.000013	1520.521833	0.034514	18.170777	0.008105	247.238917	0.009546	84.301000	0.007762	18.388250	0.002573	10.600987	0.000122	0.048290	0.000003	8.487229	0.000015	18.536240	0.003794	0.000000	0.000000	0.000000	0.000000	186.181373	21.497696	21.627148	0.014229	8.331451	2.478433	-0.001395	-0.000000	0.008580	-0.000000	1.000000	0.000000	1.000000	0.000000
2016.09.22 10:24:00	43.262108	5.322342	202.117615	0.042705	19.366667	0.065489	18.659425	0.007642	5.025717	0.000108	38.136750	0.000064	1521.247667	0.065983	18.499632	0.010242	246.650500	0.168666	84.439250	0.002304	18.585250	0.004823	10.602532	0.000250	0.041217	0.000004	8.488889	0.000010	18.752216	0.005484	0.000000	0.000000	0.000000	0.000000	185.103774	26.041909	21.625792	0.025318	8.749761	3.299409	-0.001395	-0.000000	0.008580	-0.000000	1.000000	0.000000	1.000000	0.000000
2016.09.22 10:25:00	43.256944	5.319454	202.531507	0.303647	20.093151	0.061299	18.965900	0.009585	5.061930	0.000134	38.161533	0.000062	1521.247667	0.065983	18.797051	0.004442	245.207917	0.238301	84.381833	0.001448	18.585250	0.004823	10.602532	0.000250	0.041217	0.000004	8.488348	0.000014	19.020508	0.007750	0.000000	0.000000	0.000000	0.000000	185.038462	34.216629	21.534061	0.014332	8.851104	3.331528	-0.001395	-0.000000	0.008580	-0.000000	1.000000	0.000000	1.000000	0.000000
